Count Alexey Kirillovitch Vronsky,Vassenka Veslovsky,16
Count Alexey Kirillovitch Vronsky,Grisha,4
Count Alexey Kirillovitch Vronsky,Anna Pavlovna,2
Count Alexey Kirillovitch Vronsky,Marya Nikolaevna,10
Vassenka Veslovsky,Konstantin Dmitrievitch Levin,90
Vassenka Veslovsky,Prince Stepan Arkadyevitch Oblonsky,60
Vassenka Veslovsky,Grisha,4
Vassenka Veslovsky,Princess Ekaterina Alexandrovna Shtcherbatsky,30
Vassenka Veslovsky,Nikolay Levin,16
Vassenka Veslovsky,Anna Arkadyevna Karenin,40
Vassenka Veslovsky,Varvara Andreevna,6
Vassenka Veslovsky,Princess Darya Alexandrovna,32
Vassenka Veslovsky,Count Alexey Kirillovitch Vronsky,16
Vassenka Veslovsky,Princess Varvara,8
Vassenka Veslovsky,Nikolay Ivanovitch Sviazhsky,12
Vassenka Veslovsky,Countess Vronsky,2
Vassenka Veslovsky,Alexey Alexandrovitch Karenin,2
Vassenka Veslovsky,Princess Betsy Tverskoy,2
Vassenka Veslovsky,Anna Pavlovna,2
Madame Karenina,Count Alexey Kirillovitch Vronsky,30
Madame Karenina,Countess Vronsky,14
Madame Karenina,Prince Stepan Arkadyevitch Oblonsky,2
Madame Karenina,Princess Betsy Tverskoy,6
Madame Karenina,Countess Lidia Ivanovna,4
Madame Karenina,Anna Arkadyevna Karenin,20
Madame Karenina,Alexey Alexandrovitch Karenin,8
Madame Karenina,Captain Yashvin,2
Madame Karenina,Varya,2
Madame Karenina,Golenishtchev,6
Madame Karenina,Mihailov,2
Marya Philimonovna,Prince Stepan Arkadyevitch Oblonsky,2
Marya Philimonovna,Princess Darya Alexandrovna,14
Marya Philimonovna,Tanya,2
Marya Philimonovna,Konstantin Dmitrievitch Levin,4
Marya Philimonovna,Princess Ekaterina Alexandrovna Shtcherbatsky,2
Professor Katavasov,Konstantin Dmitrievitch Levin,38
Professor Katavasov,Sergey Ivanovitch Koznishev,30
Professor Katavasov,Nikolay Levin,4
Professor Katavasov,Princess Darya Alexandrovna,2
Professor Katavasov,Princess Ekaterina Alexandrovna Shtcherbatsky,8
Professor Katavasov,Professor Metrov,14
Professor Katavasov,Arseny Lvov,4
Professor Katavasov,Agafea Mihalovna,2
Professor Katavasov,Tanya,4
Sergey,Anna Arkadyevna Karenin,30
Sergey,Tanya,2
Sergey,Alexey Alexandrovitch Karenin,40
Sergey,Count Alexey Kirillovitch Vronsky,12
Sergey,Countess Vronsky,4
Sergey,Prince Stepan Arkadyevitch Oblonsky,8
Sergey,Countess Lidia Ivanovna,14
Sergey,Vassily Fedorovitch,10
Sergey,Prince Alexander Shtcherbatsky,2
Sergey,Konstantin Dmitrievitch Levin,2
Sergey,Princess Darya Alexandrovna,4
Sergey,Princess Ekaterina Alexandrovna Shtcherbatsky,2
Varvara Andreevna,Princess Ekaterina Alexandrovna Shtcherbatsky,112
Varvara Andreevna,Madame Stahl,28
Varvara Andreevna,Konstantin Dmitrievitch Levin,22
Varvara Andreevna,Marya Nikolaevna,4
Varvara Andreevna,Petrov,2
Varvara Andreevna,Anna Pavlovna,4
Varvara Andreevna,Prince Stepan Arkadyevitch Oblonsky,8
Varvara Andreevna,Prince Alexander Shtcherbatsky,2
Varvara Andreevna,Sergey Ivanovitch Koznishev,32
Varvara Andreevna,Nikolay Levin,2
Varvara Andreevna,Princess Darya Alexandrovna,12
Varvara Andreevna,Agafea Mihalovna,4
Varvara Andreevna,Grisha,2
Varvara Andreevna,Vassenka Veslovsky,6
Varvara Andreevna,Anna Arkadyevna Karenin,2
Varvara Andreevna,Princess Natalia,2
Madame Sviazhskaya,Nikolay Levin,2
Madame Sviazhskaya,Konstantin Dmitrievitch Levin,4
Professor Metrov,Konstantin Dmitrievitch Levin,16
Professor Metrov,Princess Ekaterina Alexandrovna Shtcherbatsky,2
Professor Metrov,Professor Katavasov,14
Professor Metrov,Nikolay Levin,10
Professor Metrov,Arseny Lvov,4
Princess Ekaterina Alexandrovna Shtcherbatsky,Konstantin Dmitrievitch Levin,286
Princess Ekaterina Alexandrovna Shtcherbatsky,Prince Stepan Arkadyevitch Oblonsky,90
Princess Ekaterina Alexandrovna Shtcherbatsky,Princess Natalia,12
Princess Ekaterina Alexandrovna Shtcherbatsky,Prince Alexander Shtcherbatsky,24
Princess Ekaterina Alexandrovna Shtcherbatsky,Nikolay Levin,84
Princess Ekaterina Alexandrovna Shtcherbatsky,Mlle. Linon,4
Princess Ekaterina Alexandrovna Shtcherbatsky,Princess Darya Alexandrovna,102
Princess Ekaterina Alexandrovna Shtcherbatsky,Arseny Lvov,12
Princess Ekaterina Alexandrovna Shtcherbatsky,Sergey Ivanovitch Koznishev,42
Princess Ekaterina Alexandrovna Shtcherbatsky,Count Alexey Kirillovitch Vronsky,82
Princess Ekaterina Alexandrovna Shtcherbatsky,Countess Nordston,16
Princess Ekaterina Alexandrovna Shtcherbatsky,Anna Arkadyevna Karenin,76
Princess Ekaterina Alexandrovna Shtcherbatsky,Alexey Alexandrovitch Karenin,18
Princess Ekaterina Alexandrovna Shtcherbatsky,Yegorushka Korsunsky,14
Princess Ekaterina Alexandrovna Shtcherbatsky,Marya Nikolaevna,34
Princess Ekaterina Alexandrovna Shtcherbatsky,Madame Stahl,32
Princess Ekaterina Alexandrovna Shtcherbatsky,Varvara Andreevna,112
Princess Ekaterina Alexandrovna Shtcherbatsky,Petrov,8
Princess Ekaterina Alexandrovna Shtcherbatsky,Anna Pavlovna,10
Princess Ekaterina Alexandrovna Shtcherbatsky,Marya Philimonovna,2
Princess Ekaterina Alexandrovna Shtcherbatsky,Nikolay Ivanovitch Sviazhsky,6
Princess Ekaterina Alexandrovna Shtcherbatsky,Countess Vronsky,2
Princess Ekaterina Alexandrovna Shtcherbatsky,Agafea Mihalovna,32
Princess Ekaterina Alexandrovna Shtcherbatsky,Grisha,4
Princess Ekaterina Alexandrovna Shtcherbatsky,Tanya,6
Princess Ekaterina Alexandrovna Shtcherbatsky,Vassenka Veslovsky,30
Princess Ekaterina Alexandrovna Shtcherbatsky,Professor Katavasov,8
Princess Ekaterina Alexandrovna Shtcherbatsky,Professor Metrov,2
Princess Ekaterina Alexandrovna Shtcherbatsky,Captain Yashvin,2
Princess Ekaterina Alexandrovna Shtcherbatsky,Sergey,2
