0,1,2
High School,Highschool diploma,Secondary or Elementary Ed.
PhD/md,Graduate Degree,Postsecondary Ed.
Bachelor,Ungraduate Degree,Postsecondary Ed.
Masters,Graduate Degree,Postsecondary Ed.
Less than High School,Elementary Ed. ,Secondary or Elementary Ed.
